Domain,Username,Mailbox,Access,MailboxType
UK,JDM510859,Aaron.Y.Fischer@demo.juriba.com,Full,Personal
UK,BHQ421568,Abel.P.Allison@demo.juriba.com,Full,Personal
UK,SFA918824,Abel.P.Camacho@demo.juriba.com,Full,Personal
UK,QZV652970,Abraham.K.Suarez@demo.juriba.com,Full,Personal
UK,POX294112,Abraham.X.Suarez@demo.juriba.com,Full,Personal
UK,QSH864218,Adam.U.Roman@demo.juriba.com,Full,Personal
UK,JHC034235,Adrian.N.Dunn@demo.juriba.com,Full,Personal
UK,ZIN705858,Adrian.O.Elliott@demo.juriba.com,Full,Personal
UK,VFJ573742,Adrienne.A.Dodson@demo.juriba.com,Full,Personal
UK,EQX101908,Aimee.U.Duffy@demo.juriba.com,Full,Personal
UK,KIA333647,Aisha.J.Hinton@demo.juriba.com,Full,Personal
UK,SKF262896,Alan.I.George@demo.juriba.com,Full,Personal
UK,LUI537076,Alan.I.Morrison@demo.juriba.com,Full,Personal
UK,CGV011750,Alana.V.Montgomery@demo.juriba.com,Full,Personal
UK,JFE943964,Albert.E.Ramirez@demo.juriba.com,Full,Personal
UK,AYO572739,Albert.F.Cook@demo.juriba.com,Full,Personal
UK,KRW211984,Alejandro.V.Clayton@demo.juriba.com,Full,Personal
UK,YHT076696,Alejandro.V.Sweeney@demo.juriba.com,Full,Personal
UK,OMP640417,Alex.U.Elliott@demo.juriba.com,Full,Personal
UK,VXK857612,Alex.V.Gilbert@demo.juriba.com,Full,Personal
UK,MNU223763,Alfredo.O.Wall@demo.juriba.com,Full,Personal
UK,KNP349613,Alison.H.Benjamin@demo.juriba.com,ReadSend,Personal
UK,JDM510859,sales@demo.juriba.com,ReadSend,Shared
UK,BHQ421568,sales@demo.juriba.com,ReadSend,Shared
UK,SFA918824,sales@demo.juriba.com,ReadSend,Shared
UK,QZV652970,sales@demo.juriba.com,ReadSend,Shared
UK,POX294112,sales@demo.juriba.com,ReadSend,Shared
UK,QSH864218,sales@demo.juriba.com,ReadSend,Shared
UK,JHC034235,sales@demo.juriba.com,ReadSend,Shared
UK,ZIN705858,sales@demo.juriba.com,ReadSend,Shared
UK,VFJ573742,sales@demo.juriba.com,ReadSend,Shared
UK,EQX101908,sales@demo.juriba.com,ReadSend,Shared
UK,KIA333647,info@demo.juriba.com,ReadSend,Shared
UK,SKF262896,info@demo.juriba.com,ReadSend,Shared
UK,VXK857612,Alfredo.O.Wall@demo.juriba.com,SendOnBehalf,Personal
UK,MNU223763,Alfredo.O.Wall@demo.juriba.com,SendOnBehalf,Personal
UK,KNP349613,Alfredo.O.Wall@demo.juriba.com,SendOnBehalf,Personal
